
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée
21:30:00;358;Réelle
21:30:00;358;Réelle
21:00:00;290;Réelle
21:00:00;290;Réelle
20:30:00;250;Réelle
20:30:00;250;Réelle
20:00:00;316;Réelle
20:00:00;316;Réelle
19:30:00;354;Réelle
19:30:00;354;Réelle
19:00:00;734;Réelle
19:00:00;734;Réelle
18:30:00;214;Réelle
18:30:00;214;Réelle
18:00:00;186;Réelle
18:00:00;186;Réelle
17:30:00;270;Réelle
17:30:00;270;Réelle
17:00:00;204;Réelle
17:00:00;204;Réelle
16:30:00;138;Réelle
16:30:00;138;Réelle
16:00:00;146;Réelle
16:00:00;146;Réelle
15:30:00;96;Réelle
15:30:00;96;Réelle
15:00:00;150;Réelle
15:00:00;150;Réelle
14:30:00;208;Réelle
14:30:00;208;Réelle
14:00:00;134;Réelle
14:00:00;134;Réelle
13:30:00;110;Réelle
13:30:00;110;Réelle
13:00:00;142;Réelle
13:00:00;142;Réelle
12:30:00;140;Réelle
12:30:00;140;Réelle
12:00:00;164;Réelle
12:00:00;164;Réelle
11:30:00;526;Réelle
11:30:00;526;Réelle
11:00:00;636;Réelle
11:00:00;636;Réelle
10:30:00;502;Réelle
10:30:00;502;Réelle
10:00:00;600;Réelle
10:00:00;600;Réelle
09:30:00;536;Réelle
09:30:00;536;Réelle
09:00:00;682;Réelle
09:00:00;682;Réelle
08:30:00;822;Réelle
08:30:00;822;Réelle
08:00:00;1580;Réelle
08:00:00;1580;Réelle
07:30:00;1736;Réelle
07:30:00;1736;Réelle
07:00:00;728;Réelle
07:00:00;728;Réelle
06:30:00;1026;Réelle
06:30:00;1026;Réelle
06:00:00;448;Réelle
06:00:00;448;Réelle
05:30:00;440;Réelle
05:30:00;440;Réelle
05:00:00;438;Réelle
05:00:00;438;Réelle
04:30:00;392;Réelle
04:30:00;392;Réelle
04:00:00;550;Réelle
04:00:00;550;Réelle
03:30:00;1990;Réelle
03:30:00;1990;Réelle
03:00:00;1742;Réelle
03:00:00;1742;Réelle
02:30:00;2614;Réelle
02:30:00;2614;Réelle
02:00:00;2022;Réelle
02:00:00;2022;Réelle
01:30:00;1666;Réelle
01:30:00;1666;Réelle
01:00:00;782;Réelle
01:00:00;782;Réelle
00:30:00;348;Réelle
00:30:00;348;Réelle

17/03/2022;;
00:00:00;498;Réelle
00:00:00;498;Réelle
23:30:00;502;Réelle
23:30:00;502;Réelle
23:00:00;758;Réelle
23:00:00;758;Réelle
22:30:00;988;Réelle
22:30:00;988;Réelle
22:00:00;998;Réelle
22:00:00;998;Réelle
21:30:00;266;Réelle
21:30:00;266;Réelle
21:00:00;250;Réelle
21:00:00;250;Réelle
20:30:00;180;Réelle
20:30:00;180;Réelle
20:00:00;224;Réelle
20:00:00;224;Réelle
19:30:00;526;Réelle
19:30:00;526;Réelle
19:00:00;1756;Réelle
19:00:00;1756;Réelle
18:30:00;230;Réelle
18:30:00;230;Réelle
18:00:00;180;Réelle
18:00:00;180;Réelle
17:30:00;244;Réelle
17:30:00;244;Réelle
17:00:00;122;Réelle
17:00:00;122;Réelle
16:30:00;136;Réelle
16:30:00;136;Réelle
16:00:00;116;Réelle
16:00:00;116;Réelle
15:30:00;102;Réelle
15:30:00;102;Réelle
15:00:00;154;Réelle
15:00:00;154;Réelle
14:30:00;90;Réelle
14:30:00;90;Réelle
14:00:00;124;Réelle
14:00:00;124;Réelle
13:30:00;102;Réelle
13:30:00;102;Réelle
13:00:00;116;Réelle
13:00:00;116;Réelle
12:30:00;92;Réelle
12:30:00;92;Réelle
12:00:00;120;Réelle
12:00:00;120;Réelle
11:30:00;152;Réelle
11:30:00;152;Réelle
11:00:00;144;Réelle
11:00:00;144;Réelle
10:30:00;148;Réelle
10:30:00;148;Réelle
10:00:00;330;Réelle
10:00:00;330;Réelle
09:30:00;466;Réelle
09:30:00;466;Réelle
09:00:00;530;Réelle
09:00:00;530;Réelle
08:30:00;744;Réelle
08:30:00;744;Réelle
08:00:00;1524;Réelle
08:00:00;1524;Réelle
07:30:00;1518;Réelle
07:30:00;1518;Réelle
07:00:00;622;Réelle
07:00:00;622;Réelle
06:30:00;722;Réelle
06:30:00;722;Réelle
06:00:00;370;Réelle
06:00:00;370;Réelle
05:30:00;396;Réelle
05:30:00;396;Réelle
05:00:00;370;Réelle
05:00:00;370;Réelle
04:30:00;380;Réelle
04:30:00;380;Réelle
04:00:00;390;Réelle
04:00:00;390;Réelle
03:30:00;362;Réelle
03:30:00;362;Réelle
03:00:00;380;Réelle
03:00:00;380;Réelle
02:30:00;1448;Réelle
02:30:00;1448;Réelle
02:00:00;1640;Réelle
02:00:00;1640;Réelle
01:30:00;1640;Réelle
01:30:00;1640;Réelle
01:00:00;772;Réelle
01:00:00;772;Réelle
00:30:00;384;Réelle
00:30:00;384;Réelle

16/03/2022;;
00:00:00;476;Réelle
00:00:00;476;Réelle
23:30:00;594;Réelle
23:30:00;594;Réelle
23:00:00;818;Réelle
23:00:00;818;Réelle
22:30:00;1122;Réelle
22:30:00;1122;Réelle
22:00:00;898;Réelle
22:00:00;898;Réelle
21:30:00;424;Réelle
21:30:00;424;Réelle
21:00:00;430;Réelle
21:00:00;430;Réelle
20:30:00;478;Réelle
20:30:00;478;Réelle
20:00:00;1280;Réelle
20:00:00;1280;Réelle
19:30:00;1890;Réelle
19:30:00;1890;Réelle
19:00:00;930;Réelle
19:00:00;930;Réelle
18:30:00;172;Réelle
18:30:00;172;Réelle
18:00:00;136;Réelle
18:00:00;136;Réelle
17:30:00;276;Réelle
17:30:00;276;Réelle
17:00:00;194;Réelle
17:00:00;194;Réelle
16:30:00;146;Réelle
16:30:00;146;Réelle
16:00:00;174;Réelle
16:00:00;174;Réelle
15:30:00;160;Réelle
15:30:00;160;Réelle
15:00:00;114;Réelle
15:00:00;114;Réelle
14:30:00;1052;Réelle
14:30:00;1052;Réelle
14:00:00;1006;Réelle
14:00:00;1006;Réelle
13:30:00;1630;Réelle
13:30:00;1630;Réelle
13:00:00;1462;Réelle
13:00:00;1462;Réelle
12:30:00;834;Réelle
12:30:00;834;Réelle
12:00:00;504;Réelle
12:00:00;504;Réelle
11:30:00;630;Réelle
11:30:00;630;Réelle
11:00:00;382;Réelle
11:00:00;382;Réelle
10:30:00;498;Réelle
10:30:00;498;Réelle
10:00:00;532;Réelle
10:00:00;532;Réelle
09:30:00;544;Réelle
09:30:00;544;Réelle
09:00:00;566;Réelle
09:00:00;566;Réelle
08:30:00;836;Réelle
08:30:00;836;Réelle
08:00:00;938;Réelle
08:00:00;938;Réelle
07:30:00;1110;Réelle
07:30:00;1110;Réelle
07:00:00;664;Réelle
07:00:00;664;Réelle
06:30:00;596;Réelle
06:30:00;596;Réelle
06:00:00;478;Réelle
06:00:00;478;Réelle
05:30:00;1210;Réelle
05:30:00;1210;Réelle
05:00:00;422;Réelle
05:00:00;422;Réelle
04:30:00;422;Réelle
04:30:00;422;Réelle
04:00:00;430;Réelle
04:00:00;430;Réelle
03:30:00;414;Réelle
03:30:00;414;Réelle
03:00:00;432;Réelle
03:00:00;432;Réelle
02:30:00;396;Réelle
02:30:00;396;Réelle
02:00:00;434;Réelle
02:00:00;434;Réelle
01:30:00;1524;Réelle
01:30:00;1524;Réelle
01:00:00;822;Réelle
01:00:00;822;Réelle
00:30:00;388;Réelle
00:30:00;388;Réelle

15/03/2022;;
00:00:00;510;Réelle
00:00:00;510;Réelle
23:30:00;580;Réelle
23:30:00;580;Réelle
23:00:00;680;Réelle
23:00:00;680;Réelle
22:30:00;1004;Réelle
22:30:00;1004;Réelle
22:00:00;392;Réelle
22:00:00;392;Réelle
21:30:00;140;Réelle
21:30:00;140;Réelle
21:00:00;128;Réelle
21:00:00;128;Réelle
20:30:00;138;Réelle
20:30:00;138;Réelle
20:00:00;132;Réelle
20:00:00;132;Réelle
19:30:00;134;Réelle
19:30:00;134;Réelle
19:00:00;134;Réelle
19:00:00;134;Réelle
18:30:00;118;Réelle
18:30:00;118;Réelle
18:00:00;128;Réelle
18:00:00;128;Réelle
17:30:00;110;Réelle
17:30:00;110;Réelle
17:00:00;128;Réelle
17:00:00;128;Réelle
16:30:00;132;Réelle
16:30:00;132;Réelle
16:00:00;142;Réelle
16:00:00;142;Réelle
15:30:00;106;Réelle
15:30:00;106;Réelle
15:00:00;134;Réelle
15:00:00;134;Réelle
14:30:00;484;Réelle
14:30:00;484;Réelle
14:00:00;612;Réelle
14:00:00;612;Réelle
13:30:00;1124;Réelle
13:30:00;1124;Réelle
13:00:00;1088;Réelle
13:00:00;1088;Réelle
12:30:00;478;Réelle
12:30:00;478;Réelle
12:00:00;444;Réelle
12:00:00;444;Réelle
11:30:00;476;Réelle
11:30:00;476;Réelle
11:00:00;432;Réelle
11:00:00;432;Réelle
10:30:00;446;Réelle
10:30:00;446;Réelle
10:00:00;470;Réelle
10:00:00;470;Réelle
09:30:00;516;Réelle
09:30:00;516;Réelle
09:00:00;566;Réelle
09:00:00;566;Réelle
08:30:00;802;Réelle
08:30:00;802;Réelle
08:00:00;1200;Réelle
08:00:00;1200;Réelle
07:30:00;1444;Réelle
07:30:00;1444;Réelle
07:00:00;702;Réelle
07:00:00;702;Réelle
06:30:00;444;Réelle
06:30:00;444;Réelle
06:00:00;340;Réelle
06:00:00;340;Réelle
05:30:00;950;Réelle
05:30:00;950;Réelle
05:00:00;330;Réelle
05:00:00;330;Réelle
04:30:00;366;Réelle
04:30:00;366;Réelle
04:00:00;342;Réelle
04:00:00;342;Réelle
03:30:00;350;Réelle
03:30:00;350;Réelle
03:00:00;370;Réelle
03:00:00;370;Réelle
02:30:00;332;Réelle
02:30:00;332;Réelle
02:00:00;900;Réelle
02:00:00;900;Réelle
01:30:00;2852;Réelle
01:30:00;2852;Réelle
01:00:00;1202;Réelle
01:00:00;1202;Réelle
00:30:00;366;Réelle
00:30:00;366;Réelle

14/03/2022;;
00:00:00;460;Réelle
23:30:00;548;Réelle
23:00:00;762;Réelle
22:30:00;1094;Réelle
22:00:00;248;Réelle
21:30:00;194;Réelle
21:00:00;188;Réelle
20:30:00;182;Réelle
20:00:00;778;Réelle
19:30:00;1250;Réelle
19:00:00;858;Réelle
18:30:00;318;Réelle
18:00:00;180;Réelle
17:30:00;286;Réelle
17:00:00;166;Réelle
16:30:00;194;Réelle
16:00:00;188;Réelle
15:30:00;560;Réelle
15:00:00;528;Réelle
14:30:00;230;Réelle
14:00:00;1384;Réelle
13:30:00;1408;Réelle
13:00:00;4204;Réelle
12:30:00;922;Réelle
12:00:00;1194;Réelle
11:30:00;142;Réelle
11:00:00;404;Réelle
10:30:00;438;Réelle
10:00:00;512;Réelle
09:30:00;556;Réelle
09:00:00;672;Réelle
08:30:00;900;Réelle
08:00:00;990;Réelle
07:30:00;1556;Réelle
07:00:00;726;Réelle
06:30:00;440;Réelle
06:00:00;360;Réelle
05:30:00;956;Réelle
05:00:00;376;Réelle
04:30:00;474;Réelle
04:00:00;446;Réelle
03:30:00;800;Réelle
03:00:00;1620;Réelle
02:30:00;336;Réelle
02:00:00;960;Réelle
01:30:00;2826;Réelle
01:00:00;1200;Réelle
00:30:00;394;Réelle

13/03/2022;;
00:00:00;440;Réelle
00:00:00;440;Réelle
23:30:00;528;Réelle
23:30:00;528;Réelle
23:00:00;750;Réelle
23:00:00;750;Réelle
22:30:00;1054;Réelle
22:30:00;1054;Réelle
22:00:00;282;Réelle
22:00:00;282;Réelle
21:30:00;256;Réelle
21:30:00;256;Réelle
21:00:00;232;Réelle
21:00:00;232;Réelle
20:30:00;236;Réelle
20:30:00;236;Réelle
20:00:00;658;Réelle
20:00:00;658;Réelle
19:30:00;1270;Réelle
19:30:00;1270;Réelle
19:00:00;1234;Réelle
19:00:00;1234;Réelle
18:30:00;1806;Réelle
18:30:00;1806;Réelle
18:00:00;1858;Réelle
18:00:00;1858;Réelle
17:30:00;498;Réelle
17:30:00;498;Réelle
17:00:00;112;Réelle
17:00:00;112;Réelle
16:30:00;96;Réelle
16:30:00;96;Réelle
16:00:00;94;Réelle
16:00:00;94;Réelle
15:30:00;90;Réelle
15:30:00;90;Réelle
15:00:00;100;Réelle
15:00:00;100;Réelle
14:30:00;90;Réelle
14:30:00;90;Réelle
14:00:00;1722;Réelle
14:00:00;1722;Réelle
13:30:00;2928;Réelle
13:30:00;2928;Réelle
13:00:00;106;Réelle
13:00:00;106;Réelle
12:30:00;90;Réelle
12:30:00;90;Réelle
12:00:00;120;Réelle
12:00:00;120;Réelle
11:30:00;154;Réelle
11:30:00;154;Réelle
11:00:00;492;Réelle
11:00:00;492;Réelle
10:30:00;1322;Réelle
10:30:00;1322;Réelle
10:00:00;668;Réelle
10:00:00;668;Réelle
09:30:00;1036;Réelle
09:30:00;1036;Réelle
09:00:00;914;Réelle
09:00:00;914;Réelle
08:30:00;1124;Réelle
08:30:00;1124;Réelle
08:00:00;496;Réelle
08:00:00;496;Réelle
07:30:00;514;Réelle
07:30:00;514;Réelle
07:00:00;654;Réelle
07:00:00;654;Réelle
06:30:00;470;Réelle
06:30:00;470;Réelle
06:00:00;388;Réelle
06:00:00;388;Réelle
05:30:00;1024;Réelle
05:30:00;1024;Réelle
05:00:00;378;Réelle
05:00:00;378;Réelle
04:30:00;346;Réelle
04:30:00;346;Réelle
04:00:00;378;Réelle
04:00:00;378;Réelle
03:30:00;358;Réelle
03:30:00;358;Réelle
03:00:00;386;Réelle
03:00:00;386;Réelle
02:30:00;366;Réelle
02:30:00;366;Réelle
02:00:00;1868;Réelle
02:00:00;1868;Réelle
01:30:00;2842;Réelle
01:30:00;2842;Réelle
01:00:00;1176;Réelle
01:00:00;1176;Réelle
00:30:00;410;Réelle
00:30:00;410;Réelle

12/03/2022;;
00:00:00;450;Réelle
23:30:00;554;Réelle
23:00:00;748;Réelle
22:30:00;1120;Réelle
22:00:00;964;Réelle
21:30:00;480;Réelle
21:00:00;514;Réelle
20:30:00;484;Réelle
20:00:00;930;Réelle
19:30:00;1436;Réelle
19:00:00;1144;Réelle
18:30:00;212;Réelle
18:00:00;330;Réelle
17:30:00;292;Réelle
17:00:00;140;Réelle
16:30:00;128;Réelle
16:00:00;198;Réelle
15:30:00;912;Réelle
15:00:00;400;Réelle
14:30:00;186;Réelle
14:00:00;2338;Réelle
13:30:00;3460;Réelle
13:00:00;390;Réelle
12:30:00;728;Réelle
12:00:00;1552;Réelle
11:30:00;122;Réelle
11:00:00;398;Réelle
10:30:00;468;Réelle
10:00:00;628;Réelle
09:30:00;1058;Réelle
09:00:00;990;Réelle
08:30:00;966;Réelle
08:00:00;856;Réelle
07:30:00;556;Réelle
07:00:00;672;Réelle
06:30:00;508;Réelle
06:00:00;424;Réelle
05:30:00;1044;Réelle
05:00:00;414;Réelle
04:30:00;382;Réelle
04:00:00;416;Réelle
03:30:00;382;Réelle
03:00:00;398;Réelle
02:30:00;392;Réelle
02:00:00;878;Réelle
01:30:00;2860;Réelle
01:00:00;1202;Réelle
00:30:00;388;Réelle

11/03/2022;;
00:00:00;472;Réelle
23:30:00;598;Réelle
23:00:00;904;Réelle
22:30:00;1146;Réelle
22:00:00;950;Réelle
21:30:00;450;Réelle
21:00:00;488;Réelle
20:30:00;580;Réelle
20:00:00;1450;Réelle
19:30:00;1112;Réelle
19:00:00;1386;Réelle
18:30:00;1424;Réelle
18:00:00;610;Réelle
17:30:00;368;Réelle
17:00:00;210;Réelle
16:30:00;286;Réelle
16:00:00;478;Réelle
15:30:00;248;Réelle
15:00:00;148;Réelle
14:30:00;148;Réelle
14:00:00;1578;Réelle
13:30:00;2416;Réelle
13:00:00;112;Réelle
12:30:00;124;Réelle
12:00:00;112;Réelle
11:30:00;570;Réelle
11:00:00;888;Réelle
10:30:00;534;Réelle
10:00:00;510;Réelle
09:30:00;528;Réelle
09:00:00;538;Réelle
08:30:00;928;Réelle
08:00:00;1642;Réelle
07:30:00;1766;Réelle
07:00:00;864;Réelle
06:30:00;600;Réelle
06:00:00;468;Réelle
05:30:00;1234;Réelle
05:00:00;390;Réelle
04:30:00;410;Réelle
04:00:00;382;Réelle
03:30:00;386;Réelle
03:00:00;378;Réelle
02:30:00;388;Réelle
02:00:00;1480;Réelle
01:30:00;2860;Réelle
01:00:00;1222;Réelle
00:30:00;370;Réelle

10/03/2022;;
00:00:00;544;Réelle
23:30:00;600;Réelle
23:00:00;836;Réelle
22:30:00;1190;Réelle
22:00:00;294;Réelle
21:30:00;238;Réelle
21:00:00;372;Réelle
20:30:00;244;Réelle
20:00:00;228;Réelle
