
Recapitulatif de mes puissances atteintes en W

Date et heure de releve par le distributeur;Puissance atteinte (W);Nature de la donnee
03:30:00;1192;Reelle
03:00:00;1632;Reelle
02:30:00;1096;Reelle
02:00:00;346;Reelle
01:30:00;380;Reelle
01:00:00;270;Reelle
00:30:00;52;Reelle

04/05/2022;;
00:00:00;52;Reelle
00:00:00;52;Reelle
23:30:00;52;Reelle
23:30:00;52;Reelle
23:00:00;50;Reelle
23:00:00;50;Reelle
22:30:00;52;Reelle
22:30:00;52;Reelle
22:00:00;52;Reelle
22:00:00;52;Reelle
21:30:00;50;Reelle
21:30:00;50;Reelle
21:00:00;40;Reelle
21:00:00;40;Reelle
20:30:00;16;Reelle
20:30:00;16;Reelle
20:00:00;702;Reelle
20:00:00;702;Reelle
19:30:00;1078;Reelle
19:30:00;1078;Reelle
19:00:00;94;Reelle
19:00:00;94;Reelle
18:30:00;0;Reelle
18:30:00;0;Reelle
18:00:00;0;Reelle
18:00:00;0;Reelle
17:30:00;0;Reelle
17:30:00;0;Reelle
17:00:00;0;Reelle
17:00:00;0;Reelle
16:30:00;0;Reelle
16:30:00;0;Reelle
16:00:00;0;Reelle
16:00:00;0;Reelle
15:30:00;0;Reelle
15:30:00;0;Reelle
15:00:00;0;Reelle
15:00:00;0;Reelle
14:30:00;584;Reelle
14:30:00;584;Reelle
14:00:00;0;Reelle
14:00:00;0;Reelle
13:30:00;156;Reelle
13:30:00;156;Reelle
13:00:00;262;Reelle
13:00:00;262;Reelle
12:30:00;90;Reelle
12:30:00;90;Reelle
12:00:00;322;Reelle
12:00:00;322;Reelle
11:30:00;358;Reelle
11:30:00;358;Reelle
11:00:00;414;Reelle
11:00:00;414;Reelle
10:30:00;538;Reelle
10:30:00;538;Reelle
10:00:00;544;Reelle
10:00:00;544;Reelle
09:30:00;502;Reelle
09:30:00;502;Reelle
09:00:00;544;Reelle
09:00:00;544;Reelle
08:30:00;648;Reelle
08:30:00;648;Reelle
08:00:00;758;Reelle
08:00:00;758;Reelle
07:30:00;1100;Reelle
07:30:00;1100;Reelle
07:00:00;438;Reelle
07:00:00;438;Reelle
06:30:00;370;Reelle
06:30:00;370;Reelle
06:00:00;392;Reelle
06:00:00;392;Reelle
05:30:00;368;Reelle
05:30:00;368;Reelle
05:00:00;346;Reelle
05:00:00;346;Reelle
04:30:00;366;Reelle
04:30:00;366;Reelle
04:00:00;374;Reelle
04:00:00;374;Reelle
03:30:00;422;Reelle
03:30:00;422;Reelle
03:00:00;1646;Reelle
03:00:00;1646;Reelle
02:30:00;912;Reelle
02:30:00;912;Reelle
02:00:00;52;Reelle
02:00:00;52;Reelle
01:30:00;50;Reelle
01:30:00;50;Reelle
01:00:00;52;Reelle
01:00:00;52;Reelle
00:30:00;50;Reelle
00:30:00;50;Reelle

03/05/2022;;
00:00:00;50;Reelle
23:30:00;52;Reelle
